latitude,longitude,landslide_susceptibility
9.24,76.421111,0.058219303337092444
9.24,76.671111,0.4500592123536832
9.24,76.921111,0.8306286822718216
9.24,77.171111,0.8312030354140142
9.24,77.421111,0.451617411882104
9.24,77.671111,0.05791997147415936
9.24,77.921111,0.006235570493596234
9.24,78.171111,0.0014682423640754703
9.24,78.421111,0.0007215851072824636
9.24,78.671111,0.0005448129858099989
9.24,78.921111,0.0004950775496532436
9.24,79.171111,0.0004790969531138979
9.24,79.421111,0.0004717964211729426
9.24,79.671111,0.00046649268045628365
9.24,79.921111,0.00046161668345177145
9.24,80.171111,0.00045685569133184316
9.24,80.421111,0.0004521572847622277
9.24,80.671111,0.0004475137439860703
9.24,80.921111,0.00044292362087873364
9.24,81.171111,0.0004383861833390866
9.24,81.421111,0.0004339007718116932
9.24,81.671111,0.00042946673998054465
9.24,81.921111,0.00042508345034161793
9.24,82.171111,0.0004207502738360059
9.24,82.421111,0.0004164665897210109
9.24,82.671111,0.00041223178545379195
9.24,82.921111,0.0004080452565770851
9.24,83.171111,0.0004039064066066069
9.24,83.421111,0.0003998146469200934
9.24,83.671111,0.00039576939664796244
9.24,83.921111,0.0003917700825655624
9.24,84.171111,0.0003878161389869856
9.24,84.421111,0.0003839070076604307
9.24,84.671111,0.0003800421376650853
9.24,84.921111,0.000376220985309499
9.24,85.171111,0.00037244301403144026
9.24,85.421111,0.0003687076942991994
9.24,85.671111,0.00036501450351432446
9.24,85.921111,0.0003613629259157657
9.24,86.171111,0.00035775245248540773
9.24,86.421111,0.0003541825808549711
9.24,86.671111,0.00035065281521425354
9.24,86.921111,0.0003471626662207069
9.24,87.171111,0.0003437116509103099
9.24,87.421111,0.00034029929260973675
9.24,87.671111,0.0003369251208497868
9.24,87.921111,0.0003335886712800645
9.24,88.171111,0.00033028948558488913
9.24,88.421111,0.00032702711140041415
9.24,88.671111,0.0003238011022329432
9.24,88.921111,0.0003206110173784139
9.24,89.171111,0.000317456421843048
9.24,89.421111,0.0003143368862651351
9.24,89.671111,0.00031125198683794005
9.24,89.921111,0.00030820130523372103
9.24,90.171111,0.00030518442852883406
9.24,90.421111,0.000302200949129909
9.24,90.671111,0.00029925046470108743
9.24,90.921111,0.0002963325780922989
9.24,91.171111,0.0002934468972685668
9.24,91.421111,0.0002905930352403205
