s_no,latitude,longitude,slide_name,state,state_normalized,district,subdivision_or_taluk,material_involved,movement_type,initiation_year_raw,history_date_raw,event_year,source_page
30988,32.611361,75.369492,,Jammu & Kashmir,Jammu & Kashmir,Jammu,Ramkote,Debris,Flow,0,,,525
30989,32.612064,75.944035,,Himachal Pradesh,Himachal Pradesh,Chamba,Bhalai,Debris,Slide,0,,,525
30990,32.612313,75.809786,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
30991,32.612567,75.855574,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
30992,32.613209,75.857755,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
30993,32.613302,75.806316,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
30994,32.613403,75.806478,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
30995,32.614111,75.362911,,Jammu & Kashmir,Jammu & Kashmir,Jammu,Ramkote,Debris,Slide,0,,,525
30996,32.616794,75.831421,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
30997,32.617132,75.858415,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
30998,32.61735,75.831332,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
30999,32.617967,75.807334,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
31000,32.618314,75.813598,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
31001,32.618933,75.350492,,Jammu & Kashmir,Jammu & Kashmir,Jammu,Ramkote,Debris,Slide,0,,,525
31002,32.619157,75.848115,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
31003,32.619792,75.848358,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
31004,32.619968,75.819515,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,525
31005,32.62,76.0,,Himachal Pradesh,Himachal Pradesh,Chamba,Bhalai,Debris,Slide,0,,,525
31006,32.62,76.0,,Himachal Pradesh,Himachal Pradesh,Chamba,Bhalai,Rock,Slide,0,,,525
31007,32.62,76.0,,Himachal Pradesh,Himachal Pradesh,Chamba,Bhalai,Debris,Slide,0,,,525
31008,32.62,76.0,,Himachal Pradesh,Himachal Pradesh,Chamba,Bhalai,Rock,Slide,0,,,525
31009,32.62,76.0,,Himachal Pradesh,Himachal Pradesh,Chamba,Bhalai,Debris,Slide,0,,,525
31010,32.62,76.0,,Himachal Pradesh,Himachal Pradesh,Chamba,Bhalai,Rock,Slide,0,,,525
31011,32.62,76.0,,Himachal Pradesh,Himachal Pradesh,Chamba,Bhalai,Rock,Slide,0,,,525
31012,32.62,76.18,,Himachal Pradesh,Himachal Pradesh,Chamba,Saho,Debris,Slide,0,,,525
31013,32.62,76.18,,Himachal Pradesh,Himachal Pradesh,Chamba,Saho,Debris,Slide,0,,,525
31014,32.62,76.05,,Himachal Pradesh,Himachal Pradesh,Chamba,Pukhri,Rock,Slide,0,,,526
31015,32.62,76.4,,Himachal Pradesh,Himachal Pradesh,Chamba,Churah,Rock,Slide,0,,,526
31016,32.62,76.28,,Himachal Pradesh,Himachal Pradesh,Chamba,Saho,Debris,Slide,0,,,526
31017,32.62,79.15,,UT: Ladakh,Ladakh,Leh,Nyoma,Debris,Slide,0,,,526
31018,32.62125,75.601757,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Billawar,Debris,Slide,0,,,526
31019,32.621948,75.772487,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,526
31020,32.623656,75.363486,,Jammu & Kashmir,Jammu & Kashmir,Jammu,Ramkote,Debris,Slide,0,,,526
31021,32.624181,75.845307,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Rock,Slide,0,,,526
31022,32.624716,75.907238,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Rock,Slide,0,,,526
31023,32.624866,75.874394,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Rock,Slide,0,,,526
31024,32.624968,75.874935,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Rock,Slide,0,,,526
31025,32.625244,75.877747,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Rock,Slide,0,,,526
31026,32.625505,75.878622,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Rock,Slide,0,,,526
31027,32.625707,75.877041,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Rock,Slide,0,,,526
31028,32.626106,75.905613,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Rock,Slide,0,,,526
31029,32.626308,75.845281,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Rock,Slide,0,,,526
31030,32.626497,75.909102,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Rock,Slide,0,,,526
31031,32.62651,75.847837,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Rock,Slide,0,,,526
31032,32.626868,75.88211,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Rock,Slide,0,,,526
31033,32.62697,75.880511,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Rock,Slide,0,,,526
31034,32.62706,75.838784,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,526
31035,32.627075,75.825166,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Rock,Slide,0,,,526
31036,32.627146,75.88153,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Rock,Slide,0,,,526
31037,32.627354,75.880974,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Rock,Slide,0,,,526
31038,32.627367,75.762421,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,526
31039,32.627372,75.809164,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,526
31040,32.627834,75.839634,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,526
31041,32.628312,75.824992,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Rock,Slide,0,,,526
31042,32.628331,75.807922,,Jammu & Kashmir,Jammu & Kashmir,Kathua,Basohli,Debris,Slide,0,,,526
