latitude,longitude,label,sample_type
22.325457308898972,80.4511937981674,0,pseudo_background
24.654876194524924,84.71082584349817,0,pseudo_background
19.651438014911403,74.5416425501771,0,pseudo_background
33.174545,75.67005,1,inventory_positive
17.406948256298268,96.05548399079662,0,pseudo_background
30.871889709439056,80.10466010643833,0,pseudo_background
20.161370241268155,83.82500540482866,0,pseudo_background
32.38015956918771,80.21552852590786,0,pseudo_background
24.044270957823755,77.94842708852961,0,pseudo_background
27.10806,88.23684597,1,inventory_positive
26.678833,95.19475,1,inventory_positive
30.620389,78.988611,1,inventory_positive
31.035484446104718,83.34463395880402,0,pseudo_background
11.410653,76.375231,1,inventory_positive
25.655,94.234,1,inventory_positive
25.836419,94.526964,1,inventory_positive
25.195698366000308,85.43540916441123,0,pseudo_background
20.998756243926717,78.83710899804866,0,pseudo_background
31.81966,76.78008,1,inventory_positive
20.474924539623125,82.91143549261956,0,pseudo_background
33.465147276167734,91.92257855716272,0,pseudo_background
24.99235474797728,89.23831837453353,0,pseudo_background
26.824694,95.076889,1,inventory_positive
31.055253976031537,82.91943554864523,0,pseudo_background
27.649456147676457,78.41260402631023,0,pseudo_background
30.91047482737367,82.39335087737736,0,pseudo_background
16.01839551660475,82.37741364970597,0,pseudo_background
12.45,75.4477,1,inventory_positive
30.693923,77.741002,1,inventory_positive
19.064801054650356,81.21853242568169,0,pseudo_background
12.571667,75.79363889,1,inventory_positive
9.965063505204874,74.22838711586193,0,pseudo_background
26.094578,92.135144,1,inventory_positive
12.182314653034625,92.7056807937118,0,pseudo_background
8.280745567665189,77.66776044153421,0,pseudo_background
20.503794002787235,94.38080728314816,0,pseudo_background
22.67636353691072,80.38300643603407,0,pseudo_background
32.07501784123079,79.81092120363645,0,pseudo_background
31.454444,76.860278,1,inventory_positive
32.245063,76.145409,1,inventory_positive
29.236404,79.88644,1,inventory_positive
10.336119,77.578139,1,inventory_positive
30.007873,80.038238,1,inventory_positive
29.918425,79.192952,1,inventory_positive
25.152367,92.195708,1,inventory_positive
21.767593714944393,74.46708348457281,0,pseudo_background
30.266381,78.686294,1,inventory_positive
21.573856344109156,77.16918246093853,0,pseudo_background
22.607781485521983,77.04201007237991,0,pseudo_background
25.561903,94.778178,1,inventory_positive
24.430715110713574,89.70912848842259,0,pseudo_background
30.206864632117718,86.19217717905849,0,pseudo_background
24.256583,94.093111,1,inventory_positive
26.722029,89.66895,1,inventory_positive
27.258583,88.46166667,1,inventory_positive
34.643503195011036,72.82467929576191,0,pseudo_background
31.055192305381674,90.65083949164226,0,pseudo_background
25.197881,91.139559,1,inventory_positive
22.689418907690197,84.36912046067255,0,pseudo_background
30.116589,79.682818,1,inventory_positive
20.48895522778467,85.31866033560928,0,pseudo_background
32.62877,75.913315,1,inventory_positive
26.849624,95.320878,1,inventory_positive
13.965289619303347,88.63148854771997,0,pseudo_background
29.269,79.611,1,inventory_positive
30.99465496054157,95.9921791561063,0,pseudo_background
17.042582,73.855544,1,inventory_positive
29.807583,79.716944,1,inventory_positive
16.000462508308253,78.84636614867638,0,pseudo_background
33.63978868295841,81.46816116589581,0,pseudo_background
30.86370580999996,88.72159705902192,0,pseudo_background
9.931077,76.937972,1,inventory_positive
23.684472,92.573694,1,inventory_positive
16.566,73.817,1,inventory_positive
33.26,75.78,1,inventory_positive
23.657,93.028012,1,inventory_positive
34.31438555163957,96.06709352427812,0,pseudo_background
10.284361,77.456,1,inventory_positive
25.3763,91.874028,1,inventory_positive
31.413389,76.789083,1,inventory_positive
26.891843797422972,72.81244266128091,0,pseudo_background
33.26022,75.167831,1,inventory_positive
9.5137381674225,93.50242919281541,0,pseudo_background
16.29994155090371,82.87195970666473,0,pseudo_background
14.002939138700741,77.09721129824322,0,pseudo_background
13.402253494800684,85.39042940076679,0,pseudo_background
24.01903557014226,91.09320590479507,0,pseudo_background
19.027720610174132,92.94519638446421,0,pseudo_background
34.180869496435584,82.56100730539707,0,pseudo_background
23.38151,92.844938,1,inventory_positive
34.530678918020286,92.976614769439,0,pseudo_background
11.713035062160788,80.28920746845841,0,pseudo_background
27.089399,88.533188,1,inventory_positive
20.661569105688272,86.52619104525962,0,pseudo_background
11.3495,76.0622,1,inventory_positive
20.17631374030212,91.5062134833214,0,pseudo_background
32.3594,77.2319,1,inventory_positive
22.091302600311646,81.72948667471303,0,pseudo_background
17.89325,73.38956,1,inventory_positive
20.366527821642496,96.83053344066937,0,pseudo_background
29.297396,79.615822,1,inventory_positive
22.732522142407635,82.34351303131183,0,pseudo_background
15.805084068791063,84.87411808565231,0,pseudo_background
15.969023079998795,88.80994879438673,0,pseudo_background
22.002050007172535,74.16435481546146,0,pseudo_background
30.535381,78.626869,1,inventory_positive
24.458697664522095,81.53441939822778,0,pseudo_background
29.516055,79.961347,1,inventory_positive
25.624,94.206,1,inventory_positive
25.785549358915162,90.65399267588764,0,pseudo_background
32.590278,75.6625,1,inventory_positive
33.01331729844851,77.93756413664585,0,pseudo_background
30.583756,77.232885,1,inventory_positive
27.082,88.464,1,inventory_positive
30.977001,77.105915,1,inventory_positive
10.950914098970845,82.8149461803121,0,pseudo_background
22.523687950519232,85.13674240652011,0,pseudo_background
33.427975,75.108101,1,inventory_positive
29.207895,79.80212,1,inventory_positive
31.600520540766873,84.87439974140521,0,pseudo_background
30.408976,78.121365,1,inventory_positive
33.73839867058536,87.94684824003447,0,pseudo_background
30.363835,79.475815,1,inventory_positive
10.08,77.13,1,inventory_positive
32.99951889154695,78.15773922985267,0,pseudo_background
22.854878632267585,95.56570491196736,0,pseudo_background
9.85340618737604,80.67326356783727,0,pseudo_background
30.61554,78.218778,1,inventory_positive
28.650250460026214,83.11921918403822,0,pseudo_background
